"id","company_id/id","create_date","create_uid/id","code","note","name","parent_id/id","write_uid/id","write_date"
"hr_payroll.BASIC","base.main_company","2017-05-24 18:47:41","base.user_root","BASIC","","Base","","base.user_root","2017-05-24 19:42:37"
"hr_payroll.ALW","base.main_company","2017-05-24 18:47:41","base.user_root","ALW","","Prestaciones","","base.user_root","2017-05-24 19:42:37"
"hr_payroll.GROSS","base.main_company","2017-05-24 18:47:41","base.user_root","GROSS","","Bruto","","base.user_root","2017-05-24 19:42:37"
"hr_payroll.DED","base.main_company","2017-05-24 18:47:41","base.user_root","DED","","Deducciones","","base.user_root","2017-05-24 19:42:37"
"hr_payroll.NET","base.main_company","2017-05-24 18:47:41","base.user_root","NET","","Neto","","base.user_root","2017-05-24 19:42:37"
"hr_payroll.COMP","base.main_company","2017-05-24 18:47:41","base.user_root","COMP","","Contribución de la compañía","","base.user_root","2017-05-24 19:42:37"
"hr_salary_rule_category_7","base.main_company","2017-05-24 18:58:01","base.user_root","RETRIB","","Retenciones tributarias","","base.user_root","2017-05-24 19:42:37"
"hr_salary_rule_category_8","base.main_company","2017-05-24 18:58:01","base.user_root","RETRIBD","","Retenciones tributarias deducibles","","base.user_root","2017-05-24 19:42:37"
"hr_salary_rule_category_9","base.main_company","2017-05-24 18:58:01","base.user_root","ALWND","","Ingresos no deducibles","","base.user_root","2017-05-24 19:42:37"
"hr_salary_rule_category_10","base.main_company","2017-05-24 18:58:01","base.user_root","OT","","Otras","","base.user_root","2017-05-24 19:42:37"
"hr_salary_rule_category_11","base.main_company","2017-05-24 18:58:01","base.user_root","BRUTO","","Bruto","","base.user_root","2017-05-24 19:42:37"
"hr_salary_rule_category_13","base.main_company","2017-05-24 18:58:01","base.user_root","PARAMS","","PARAMS","","base.user_root","2017-05-24 19:42:37"
"hr_salary_rule_category_14","base.main_company","2017-05-24 18:58:01","base.user_root","DED1","","Deducciones","","base.user_root","2017-05-24 18:58:01"
"hr_salary_rule_category_15","base.main_company","2017-05-24 18:58:01","base.user_root","ALWEX","","Ingresos exentos","","base.user_root","2017-05-24 19:42:37"
